Study_Hours,Sleep_Hours,Screen_Time_Hours,Exercise_Hours,Stress_Level,Previous_Marks,Burnout_Score,Burnout_Level,Performance_Decline,Final_Predicted_Marks
5.18,7.54,4.82,2.14,2,87.09,-0.36,Low,3.48,83.6
1.02,9.0,3.72,2.21,3,70.83,-1.06,Low,2.7,68.12
4.56,5.95,4.47,0.67,6,64.45,2.81,Medium,3.11,61.34
5.71,8.71,2.58,0.0,10,67.92,2.95,Medium,0.36,67.56
7.96,6.21,5.98,0.0,6,69.46,4.43,Medium,0.69,68.77
3.96,8.17,7.69,1.19,7,56.42,4.41,Medium,2.76,53.66
3.38,4.81,2.96,1.52,4,68.85,2.46,Medium,0.91,67.94
4.0,7.35,8.2,1.05,8,60.1,3.63,Medium,2.49,57.61
6.83,4.02,5.28,0.94,8,67.78,4.65,Medium,5.56,62.22
5.66,6.6,5.6,0.36,7,62.14,5.54,High,4.05,58.09
3.94,7.66,0.75,1.52,3,76.57,-1.0,Low,0.72,75.86
6.03,6.22,0.48,2.34,3,82.19,1.75,Low,3.71,78.48
5.19,5.42,5.36,0.0,2,73.43,0.92,Low,1.82,71.61
6.94,8.27,6.97,0.94,7,62.83,4.88,Medium,3.39,59.44
3.6,6.84,3.32,0.22,6,50.74,3.75,Medium,0.73,50.01
4.34,6.27,9.18,0.0,7,42.12,1.27,Low,2.58,39.55
4.22,7.06,6.84,0.1,2,56.31,3.06,Medium,4.19,52.12
2.07,10.0,2.73,1.3,4,76.9,1.93,Low,0.53,76.36
5.59,8.73,5.08,1.32,1,88.12,-0.21,Low,4.14,83.98
5.52,8.74,11.19,2.17,2,69.3,2.92,Medium,2.26,67.04
5.01,7.65,1.89,1.01,7,71.0,1.31,Low,4.12,66.88
4.53,7.25,6.32,0.0,5,70.47,3.67,Medium,4.79,65.68
2.17,3.41,4.19,0.81,10,44.13,9.2,High,10.83,33.29
4.16,5.98,6.77,0.0,3,73.02,-0.73,Low,3.37,69.65
4.31,6.28,8.17,0.03,2,63.1,1.67,Low,1.18,61.92
3.4,4.19,4.03,1.46,3,61.02,3.04,Medium,0.68,60.35
4.68,5.26,7.8,1.16,4,57.6,5.36,High,3.14,54.46
5.81,4.03,10.55,1.47,10,49.99,5.75,High,10.5,39.49
8.77,6.94,5.17,0.71,10,78.05,5.12,High,2.33,75.72
5.35,8.23,6.96,1.63,5,72.8,1.99,Low,3.18,69.62
5.52,8.66,3.52,0.67,8,68.31,2.45,Medium,2.5,65.81
4.85,7.62,5.05,1.89,9,71.04,4.15,Medium,3.49,67.55
1.16,5.55,4.56,1.28,2,61.39,-1.46,Low,4.01,57.39
4.95,4.1,6.99,0.83,3,63.44,2.81,Medium,4.36,59.08
5.12,4.36,8.01,1.17,4,58.87,2.48,Medium,2.8,56.07
9.93,5.1,4.73,0.99,7,80.5,5.07,High,1.38,79.11
4.62,5.67,8.83,2.28,6,63.74,3.36,Medium,2.55,61.19
5.6,6.76,8.83,1.2,6,60.38,4.25,Medium,1.94,58.44
4.93,5.48,7.12,1.0,10,46.83,4.72,Medium,1.13,45.7
2.66,7.51,3.71,0.81,7,56.13,4.16,Medium,2.65,53.48
7.29,6.65,3.47,1.67,1,90.02,0.18,Low,0.11,89.9
6.5,7.02,2.97,1.57,8,81.11,3.79,Medium,3.03,78.08
6.58,8.71,7.37,0.78,9,61.23,5.04,High,4.11,57.12
3.18,5.23,1.97,0.08,2,67.59,0.65,Low,5.0,62.59
7.81,7.63,6.69,0.28,1,83.89,1.73,Low,4.61,79.28
2.2,6.98,2.3,0.85,4,62.72,2.07,Low,0.45,62.27
6.17,6.5,7.06,2.08,2,87.04,1.56,Low,0.81,86.23
9.38,8.33,5.04,0.8,6,87.42,2.65,Medium,0.69,86.73
3.02,8.32,8.33,0.52,3,57.22,2.07,Low,2.79,54.43
3.87,5.58,7.85,0.0,9,51.29,5.04,High,0.23,51.06
5.2,6.73,8.59,2.21,8,66.08,5.04,High,4.68,61.39
3.99,7.42,8.65,1.46,7,53.2,2.8,Medium,0.31,52.89
1.9,6.59,5.36,1.64,7,47.68,4.76,Medium,1.96,45.73
5.14,7.88,2.1,1.77,7,76.51,1.27,Low,4.47,72.04
2.88,7.42,2.37,0.87,5,65.23,3.18,Medium,4.74,60.49
5.95,9.75,0.0,1.07,8,78.14,1.96,Low,2.33,75.81
3.16,4.7,2.29,2.19,4,72.47,2.75,Medium,2.44,70.03
8.1,6.82,5.17,1.14,5,78.74,2.25,Low,3.18,75.56
3.43,5.64,3.6,1.47,3,70.13,-1.67,Low,2.04,68.09
4.36,7.91,4.55,1.7,3,81.37,-1.45,Low,1.62,79.75
6.63,4.57,6.23,1.51,2,75.16,6.27,High,3.7,71.46
2.54,7.52,4.24,0.9,5,52.38,0.95,Low,2.98,49.4
5.45,6.05,2.2,0.97,2,77.54,2.38,Medium,2.41,75.13
7.61,5.9,4.87,1.62,10,70.77,3.94,Medium,0.5,70.26
1.79,4.83,2.75,1.62,4,64.55,1.68,Low,0.34,64.2
5.37,6.3,4.32,1.93,10,60.8,5.62,High,2.55,58.24
5.52,8.63,8.36,1.44,1,87.74,5.49,High,3.1,84.64
6.56,6.96,4.32,1.48,2,77.63,0.75,Low,3.29,74.34
2.53,7.94,9.43,0.64,1,62.6,0.26,Low,4.47,58.12
2.36,9.5,8.58,0.54,2,61.97,1.62,Low,4.08,57.89
6.04,7.4,3.55,1.62,4,87.25,0.34,Low,0.7,86.54
5.59,6.16,2.22,0.54,1,73.62,0.94,Low,3.97,69.65
5.5,7.7,4.87,0.98,6,73.18,2.97,Medium,3.38,69.8
5.69,6.18,7.88,2.1,1,76.4,0.6,Low,4.14,72.26
3.64,6.24,3.77,1.98,3,78.96,1.83,Low,4.22,74.74
5.46,4.72,7.27,1.24,2,65.97,2.77,Medium,1.73,64.25
5.59,8.39,8.02,0.76,2,77.46,2.99,Medium,1.32,76.14
3.57,6.42,3.06,0.9,4,63.04,4.01,Medium,2.76,60.28
8.73,7.27,3.31,1.69,9,82.53,3.97,Medium,1.49,81.04
5.95,5.45,6.78,0.97,3,69.58,2.28,Low,1.75,67.83
2.62,7.65,5.38,0.55,6,55.44,0.71,Low,0.35,55.1
6.31,5.86,3.28,1.97,10,58.02,5.88,High,4.96,53.06
3.05,6.79,4.12,1.15,3,69.11,0.11,Low,1.55,67.56
6.57,8.32,4.82,0.54,10,61.9,5.68,High,3.9,58.0
7.32,8.19,1.09,1.38,5,82.58,3.31,Medium,4.97,77.61
3.36,6.97,6.91,1.78,9,46.55,3.77,Medium,4.85,41.71
6.93,4.35,3.8,0.19,3,70.0,1.97,Low,3.17,66.83
5.83,10.0,0.0,0.84,8,82.32,3.52,Medium,2.69,79.63
6.64,9.62,4.94,0.8,6,81.07,3.83,Medium,1.55,79.52
8.79,8.08,3.15,1.36,8,88.03,4.91,Medium,4.31,83.72
4.51,5.87,9.22,1.51,2,61.33,2.02,Low,1.69,59.64
3.49,6.83,3.54,0.56,9,57.08,1.94,Low,0.53,56.54
3.22,6.18,2.26,0.0,1,66.79,-1.1,Low,1.47,65.32
3.37,8.9,6.27,1.83,3,76.11,-0.49,Low,1.58,74.53
4.85,7.39,3.35,0.1,4,73.59,2.61,Medium,3.59,70.0
5.68,5.82,3.05,1.22,6,68.17,3.49,Medium,0.85,67.32
5.55,6.29,6.27,0.89,4,75.28,2.03,Low,1.58,73.69
6.65,8.68,2.4,1.13,2,92.31,-0.42,Low,0.38,91.93
5.03,9.4,1.36,2.32,3,80.9,0.34,Low,4.24,76.66
7.91,9.29,9.31,3.43,3,82.18,1.92,Low,3.62,78.55
4.47,8.14,6.45,0.0,6,55.74,2.52,Medium,2.19,53.55
10.44,6.62,4.34,1.79,5,100.0,6.51,High,2.15,97.85
6.25,3.0,4.99,0.88,5,61.07,3.35,Medium,0.83,60.23
3.29,7.45,6.26,1.84,4,75.53,2.94,Medium,1.92,73.61
2.86,7.0,7.43,1.77,4,56.24,2.94,Medium,4.53,51.7
5.96,7.21,3.11,2.13,9,66.13,1.75,Low,0.69,65.44
4.55,7.08,5.92,1.23,7,67.58,2.8,Medium,3.83,63.76
6.43,5.01,3.73,0.29,8,69.63,6.07,High,0.24,69.39
5.95,7.84,4.53,1.74,4,82.67,1.65,Low,1.56,81.11
4.85,7.95,5.4,1.09,3,77.88,-0.71,Low,4.23,73.64
3.31,8.02,4.98,0.81,1,68.23,0.68,Low,2.22,66.0
1.97,8.42,6.84,0.62,9,52.48,3.42,Medium,3.51,48.97
4.11,7.91,6.22,1.81,9,61.53,5.11,High,0.52,61.01
6.71,6.38,1.23,2.28,2,88.8,4.37,Medium,3.42,85.38
5.43,6.89,1.61,0.04,4,75.7,2.06,Low,4.1,71.6
2.51,7.14,4.08,1.5,4,69.99,2.2,Low,4.03,65.96
5.35,7.16,9.57,0.7,1,73.42,1.77,Low,2.19,71.22
5.77,8.5,2.87,0.0,2,70.98,-1.21,Low,4.52,66.46
3.23,7.97,4.48,1.12,8,63.95,4.91,Medium,2.87,61.08
5.31,10.0,3.66,0.33,6,78.81,1.18,Low,4.09,74.73
5.12,10.0,3.61,0.0,1,81.15,-0.74,Low,1.07,80.08
2.71,7.12,5.45,0.37,7,54.63,6.16,High,1.05,53.58
5.72,3.0,8.5,0.18,7,53.21,5.75,High,3.77,49.43
6.12,8.86,6.14,0.48,6,62.54,5.14,High,3.23,59.3
7.17,6.19,2.99,0.0,8,68.55,5.05,High,3.38,65.17
7.11,5.8,11.88,0.68,5,62.44,4.78,Medium,1.18,61.26
2.24,6.4,5.2,0.43,2,60.48,1.51,Low,2.0,58.49
3.12,6.33,3.56,1.3,4,63.09,0.46,Low,1.29,61.8
6.03,7.92,8.53,1.47,8,68.9,6.45,High,0.34,68.56
6.03,4.66,3.83,1.21,8,61.27,6.58,High,9.65,51.62
6.03,5.38,9.16,0.81,5,68.14,4.75,Medium,4.98,63.16
12.0,7.51,2.82,0.79,6,100.0,5.85,High,1.17,98.83
6.14,7.93,8.58,0.33,9,67.37,6.09,High,0.8,66.57
7.27,7.96,5.5,0.35,10,76.47,7.02,High,3.48,72.99
6.91,5.82,8.23,1.56,10,70.32,11.22,High,3.01,67.31
6.3,5.53,9.75,0.0,10,45.72,11.24,High,3.73,41.99
4.37,6.24,2.17,0.94,2,77.23,0.19,Low,3.27,73.96
6.52,7.36,8.19,0.74,5,67.14,4.34,Medium,1.11,66.03
3.45,9.23,1.48,1.48,9,82.9,0.99,Low,2.5,80.39
4.53,3.93,2.38,0.0,3,69.46,3.14,Medium,0.88,68.58
4.03,6.67,2.99,1.01,6,73.08,3.08,Medium,1.27,71.81
5.16,5.0,6.26,1.27,4,69.27,1.99,Low,4.93,64.33
9.63,4.52,5.08,0.0,4,68.76,5.87,High,3.64,65.12
1.27,8.45,4.58,0.14,3,55.59,0.17,Low,3.91,51.68
6.37,7.82,5.37,0.93,10,62.43,4.57,Medium,0.15,62.28
1.77,7.67,6.48,1.41,1,63.01,0.81,Low,1.91,61.1
4.06,8.38,6.67,1.15,8,62.22,3.37,Medium,2.78,59.44
7.18,6.28,7.74,1.45,5,76.52,4.03,Medium,0.75,75.77
5.13,6.35,9.55,0.14,2,52.16,5.58,High,4.24,47.92
2.84,10.0,4.95,0.0,1,70.77,-1.37,Low,0.7,70.08
3.57,6.63,3.7,1.07,1,70.77,1.13,Low,3.18,67.58
6.36,8.1,6.53,0.02,4,80.8,1.92,Low,2.77,78.03
3.54,7.01,2.14,0.31,4,70.85,-0.27,Low,4.25,66.61
5.43,4.23,3.3,1.75,6,67.55,3.34,Medium,1.56,66.0
5.09,3.93,7.5,1.15,7,57.56,9.38,High,1.42,56.13
3.7,6.13,4.69,0.55,1,61.22,1.87,Low,4.23,56.98
9.29,8.58,1.98,0.44,10,85.98,5.48,High,1.11,84.88
6.27,8.18,1.28,1.5,2,88.04,-0.9,Low,3.73,84.31
0.95,8.37,5.12,1.17,3,56.33,-0.1,Low,0.96,55.37
5.37,5.52,7.85,0.03,9,59.4,4.04,Medium,4.38,55.03
3.68,9.42,7.82,0.0,4,65.19,4.95,High,4.2,60.99
6.7,5.55,5.28,2.51,6,72.2,4.16,Medium,3.94,68.26
3.41,7.32,10.02,0.02,2,56.31,2.76,Medium,2.46,53.85
4.77,6.98,4.74,1.42,2,78.04,1.3,Low,0.17,77.87
6.01,6.74,4.65,2.21,2,84.6,4.27,Medium,0.66,83.94
6.73,9.01,0.0,1.12,5,88.44,1.37,Low,2.28,86.16
2.6,5.94,3.88,0.52,9,44.0,4.01,Medium,0.22,43.78
4.33,4.98,7.13,0.0,6,49.3,7.21,High,0.32,48.99
4.05,7.03,8.91,0.0,9,45.15,5.68,High,0.63,44.53
3.69,6.4,2.92,1.3,6,64.11,-0.1,Low,1.3,62.81
8.53,10.0,6.16,2.16,9,83.17,2.33,Low,3.75,79.42
5.81,8.01,7.62,0.68,5,69.09,3.12,Medium,0.24,68.85
2.48,6.39,5.03,0.56,1,64.24,0.91,Low,4.92,59.32
6.84,5.42,0.0,1.56,6,90.25,3.66,Medium,1.37,88.89
9.24,4.18,5.62,0.45,4,84.51,2.81,Medium,1.6,82.91
7.06,5.46,6.9,1.22,9,70.43,5.76,High,1.24,69.19
1.96,7.17,2.63,1.03,6,61.66,0.61,Low,3.01,58.65
4.03,9.14,4.36,0.67,1,78.24,1.41,Low,0.1,78.14
7.53,8.68,2.11,0.99,6,87.35,4.26,Medium,0.47,86.88
3.58,7.34,0.0,2.41,3,81.39,2.47,Medium,0.49,80.89
5.89,6.52,7.57,1.48,3,77.72,3.22,Medium,3.32,74.4
6.55,7.4,4.99,1.87,7,70.26,6.51,High,1.65,68.62
3.15,6.22,8.99,0.27,2,61.96,1.37,Low,2.19,59.77
4.88,9.58,7.14,1.88,9,66.43,4.69,Medium,4.75,61.68
0.0,6.72,4.11,1.51,9,35.0,1.83,Low,1.0,34.0
2.95,6.87,4.79,0.0,7,54.79,4.33,Medium,0.35,54.44
4.49,3.68,6.42,1.43,9,45.47,6.36,High,13.05,32.42
2.5,6.71,7.42,0.59,6,49.4,-0.08,Low,0.82,48.58
8.26,8.25,5.81,0.0,9,72.06,7.08,High,0.72,71.34
2.14,5.4,7.76,1.1,10,35.0,7.2,High,2.05,32.95
4.12,5.87,4.26,1.43,2,71.86,0.22,Low,3.35,68.52
5.26,8.19,2.51,1.12,5,77.37,2.05,Low,1.21,76.16
7.88,4.79,4.84,0.91,6,78.36,2.17,Low,4.38,73.98
2.13,8.59,5.51,0.74,6,55.35,1.2,Low,1.81,53.54
7.33,6.2,2.0,2.97,4,91.01,4.11,Medium,4.67,86.34
5.02,6.42,1.66,0.05,4,72.11,-0.17,Low,2.46,69.65
3.04,5.31,6.12,1.7,5,56.6,3.02,Medium,3.63,52.97
5.92,7.57,3.98,1.01,6,65.54,0.81,Low,4.25,61.29
5.4,10.0,4.59,0.32,8,69.11,3.9,Medium,2.65,66.46
3.8,8.17,4.1,0.96,10,62.0,5.19,High,4.25,57.75
5.14,5.7,8.8,0.0,1,62.09,3.54,Medium,1.89,60.2
4.23,8.7,8.15,0.52,8,56.57,5.28,High,1.82,54.76
5.23,6.52,1.91,0.96,2,79.63,2.61,Medium,3.97,75.66
6.32,9.06,3.67,0.0,7,79.43,2.32,Low,1.21,78.22
8.17,8.21,7.13,1.41,4,84.79,1.44,Low,3.59,81.2
2.52,3.0,6.5,0.23,8,42.47,4.63,Medium,10.93,31.54
9.27,5.49,4.9,0.0,6,78.66,2.65,Medium,3.18,75.49
1.1,8.42,2.16,0.14,5,55.93,0.93,Low,4.71,51.22
4.7,7.23,3.29,2.74,10,60.85,4.0,Medium,2.28,58.57
6.18,5.46,3.71,0.0,10,58.65,6.42,High,2.08,56.57
5.56,6.05,5.69,1.35,5,71.82,0.81,Low,2.7,69.12
3.75,4.14,9.26,0.4,4,53.22,4.19,Medium,3.6,49.62
4.58,6.87,3.28,0.72,3,80.7,3.02,Medium,1.79,78.91
4.01,10.0,2.43,1.48,3,85.58,0.59,Low,0.0,85.58
3.82,8.21,4.73,1.44,3,79.14,-1.91,Low,2.51,76.63
6.7,10.0,7.58,0.46,7,62.63,4.0,Medium,2.1,60.54
5.71,8.32,1.38,0.0,8,79.33,1.96,Low,2.66,76.66
3.61,8.54,8.63,1.5,8,58.42,4.47,Medium,3.58,54.84
6.8,9.96,4.57,1.44,2,92.63,-0.12,Low,1.42,91.22
5.61,7.57,3.16,0.77,3,83.64,3.76,Medium,2.53,81.11
6.63,6.72,1.0,1.35,2,88.61,0.47,Low,1.27,87.34
6.26,8.55,6.77,0.64,6,66.56,4.06,Medium,2.3,64.27
3.34,9.18,4.57,0.34,3,77.12,0.65,Low,1.72,75.4
3.88,6.28,5.43,1.0,6,57.11,4.03,Medium,1.85,55.26
6.49,5.92,2.75,1.42,4,75.01,1.74,Low,2.9,72.11
6.22,7.21,4.2,1.25,10,65.57,6.25,High,3.45,62.12
4.96,8.25,3.78,1.41,10,62.94,3.78,Medium,0.06,62.88
5.23,8.2,4.75,0.39,6,69.4,5.0,High,4.38,65.02
7.56,4.86,3.33,2.27,3,85.27,2.84,Medium,1.82,83.44
3.82,9.87,1.16,0.73,5,82.17,0.28,Low,3.22,78.95
6.09,6.04,11.82,0.9,8,57.73,8.04,High,0.61,57.12
4.6,6.6,1.59,0.0,3,68.91,1.66,Low,2.86,66.05
4.56,5.65,5.45,0.84,9,52.3,6.43,High,3.39,48.91
7.2,10.0,0.57,1.43,9,82.27,2.95,Medium,0.79,81.48
6.65,7.36,0.01,1.61,7,80.23,1.94,Low,4.56,75.67
6.63,5.72,5.24,2.25,8,68.26,4.93,Medium,3.79,64.48
7.61,8.3,5.44,1.42,9,69.62,4.13,Medium,2.67,66.95
5.04,8.15,8.15,1.22,1,77.36,2.73,Medium,0.83,76.53
6.36,6.72,6.0,0.64,7,65.55,6.63,High,4.33,61.22
4.38,8.26,4.63,0.47,10,53.75,5.56,High,0.34,53.41
5.65,5.76,2.63,1.78,3,81.93,3.46,Medium,0.58,81.36
4.74,6.26,8.75,1.76,6,65.88,6.03,High,3.49,62.39
5.19,3.98,7.32,0.14,9,48.95,6.11,High,9.85,39.1
6.19,5.01,1.88,1.58,10,75.61,6.24,High,2.3,73.31
3.36,9.71,5.09,1.52,8,74.87,1.06,Low,2.69,72.18
9.18,9.46,5.36,0.11,2,96.43,1.86,Low,2.29,94.14
2.99,7.1,4.14,1.43,4,63.9,-0.35,Low,0.42,63.48
2.57,9.49,6.93,0.16,5,60.71,2.05,Low,3.69,57.02
7.32,6.76,7.08,0.0,10,56.04,4.4,Medium,1.2,54.84
6.58,6.63,4.52,0.87,6,69.07,5.15,High,3.69,65.38
6.25,7.08,4.3,1.21,7,63.92,3.08,Medium,4.33,59.59
6.26,6.81,8.75,0.91,4,67.11,5.01,High,2.68,64.43
4.98,6.68,7.33,3.29,4,67.98,2.42,Medium,3.53,64.44
3.21,8.72,5.18,1.3,5,69.51,-0.95,Low,0.18,69.33
5.15,7.23,0.93,1.12,9,65.27,2.69,Medium,0.18,65.09
3.65,8.07,5.86,1.34,9,59.34,3.5,Medium,0.99,58.36
6.95,8.55,6.75,0.65,1,88.46,1.2,Low,1.79,86.67
4.71,7.58,0.0,1.74,5,85.08,3.08,Medium,0.91,84.16
3.35,5.54,5.63,1.29,5,58.14,5.45,High,3.17,54.97
4.36,4.97,3.96,1.25,7,62.74,3.47,Medium,1.38,61.36
5.83,7.22,4.45,0.5,8,68.29,2.34,Low,4.23,64.06
3.87,6.74,2.73,0.0,3,75.24,-0.05,Low,2.8,72.44
3.36,7.13,4.63,0.6,1,74.45,1.02,Low,1.89,72.56
5.49,6.98,8.48,1.23,2,79.38,2.14,Low,4.47,74.91
5.49,10.0,3.88,0.64,6,67.74,-0.23,Low,4.14,63.6
3.99,5.0,7.41,1.23,6,53.21,3.52,Medium,4.1,49.11
4.06,4.02,2.98,0.81,5,67.39,4.81,Medium,3.64,63.75
5.46,7.5,6.9,1.34,5,73.45,3.58,Medium,3.07,70.37
2.1,6.44,5.0,0.22,9,45.81,4.52,Medium,1.83,43.98
2.19,7.47,5.88,1.15,7,51.96,2.64,Medium,2.11,49.85
3.56,7.88,5.02,0.49,6,65.88,2.07,Low,3.24,62.65
4.57,8.93,6.6,0.0,7,52.34,4.53,Medium,0.86,51.48
5.62,4.74,0.0,0.87,3,82.53,1.24,Low,4.14,78.39
7.95,6.16,1.45,2.23,7,85.1,4.39,Medium,4.69,80.4
6.72,7.64,6.04,0.0,3,74.64,3.18,Medium,0.49,74.15
4.68,8.16,0.0,1.1,8,74.83,2.3,Low,0.11,74.72
4.96,10.0,3.67,1.64,10,67.32,4.34,Medium,0.71,66.61
2.99,8.43,4.86,2.84,10,60.22,3.07,Medium,3.8,56.42
4.96,6.91,2.93,0.61,9,62.87,4.1,Medium,0.54,62.33
4.42,5.66,3.27,0.49,3,73.32,3.58,Medium,1.86,71.46
5.65,6.15,5.68,0.07,7,63.37,4.49,Medium,0.32,63.05
3.35,6.11,7.52,1.91,8,44.51,4.38,Medium,2.16,42.35
6.04,7.98,2.6,0.31,3,74.17,1.35,Low,3.02,71.15
8.07,7.39,3.56,0.7,6,76.38,1.58,Low,3.14,73.24
4.78,5.01,3.17,0.0,7,62.68,4.23,Medium,2.59,60.09
5.8,6.35,0.0,1.71,4,85.81,3.46,Medium,4.69,81.12
6.38,8.32,5.35,1.93,6,86.25,1.79,Low,2.66,83.6
4.2,7.53,7.34,1.68,7,56.8,4.35,Medium,4.3,52.5
5.45,7.85,7.54,0.0,7,68.73,4.46,Medium,4.97,63.77
5.03,7.57,2.82,1.49,1,73.78,-0.29,Low,1.15,72.63
5.2,9.44,1.87,0.0,2,82.94,-0.33,Low,1.33,81.62
3.45,7.35,5.05,1.05,1,73.31,1.36,Low,2.61,70.7
